,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.86 -0.20 ,,1.02 -0.40 ,,3.34 43.20 ,,2.56 0.40 ,,2.10 100.30 ,,2.29 54.30 ,,0.99 -0.10 ,,3.05,4.4,,,,,,
,1.88 -0.30 ,,1.03 -0.30 ,,3.36 44.70 ,,2.57 -0.10 ,,1.02 -0.10 ,,2.30 57.30 ,,1.00 -0.20 ,,3.07,5.2,,,,,,
,1.90 -0.10 ,,1.02 0.10 ,,3.37 46.10 ,,2.59 0.10 ,,1.02 -0.10 ,,2.32 61.10 ,,1.02 0.00 ,,3.08,6.2,,,,,,
,1.93 0.00 ,,1.02 -0.50 ,,3.38 47.90 ,,2.62 0.30 ,,1.02 0.00 ,,2.33 64.10 ,,1.03 0.20 ,,3.1,7,,,,,,
,1.95 -0.30 ,,1.02 -0.10 ,,3.40 49.40 ,,2.64 0.30 ,,1.02 -0.30 ,,2.34 68.00 ,,1.04 0.30 ,,3.12,8.3,,,,,,
,1.97 -0.10 ,,1.02 -0.10 ,,3.42 51.80 ,,2.66 0.30 ,,1.02 -0.20 ,,2.36 72.30 ,,1.06 0.50 ,,3.13,9.6,,,,,,
,2.00 -0.50 ,,1.02 -0.40 ,,3.44 53.60 ,,2.68 0.40 ,,1.02 -0.10 ,,2.37 76.70 ,,1.08 0.50 ,,3.15,11.1,,,,,,
,2.02 -0.20 ,,1.02 -0.40 ,,3.46 55.60 ,,2.70 0.20 ,,1.02 -0.10 ,,2.38 81.60 ,,1.09 1.30 ,,3.17,12.3,,,,,,
,2.05 0.00 ,,1.03 0.10 ,,3.47 57.30 ,,2.71 0.70 ,,1.02 -0.10 ,,2.40 85.60 ,,1.11 1.20 ,,3.18,13.5,,,,,,
,2.07 -0.10 ,,1.02 -0.40 ,,3.49 59.30 ,,2.74 0.80 ,,1.02 -0.20 ,,2.40 91.00 ,,1.12 2.00 ,,3.2,15.3,,,,,,
,2.08 -0.10 ,,1.02 -0.10 ,,3.50 61.30 ,,2.76 0.60 ,,1.02 -0.30 ,,2.41 95.20 ,,1.14 2.60 ,,3.22,16.4,,,,,,
,2.11 0.00 ,,1.02 0.00 ,,3.52 63.40 ,,2.78 0.60 ,,1.02 -0.30 ,,2.42 101.10 ,,1.15 3.90 ,,3.23,18.4,,,,,,
,2.14 -0.10 ,,1.02 0.00 ,,3.54 65.40 ,,2.80 0.80 ,,1.02 -0.40 ,,1.02 -0.10 ,,1.16 5.00 ,,3.25,19.7,,,,,,
,2.16 -0.30 ,,1.02 -0.30 ,,3.56 67.80 ,,2.82 0.70 ,,1.03 -0.20 ,,1.02 -0.10 ,,1.17 6.60 ,,3.27,21.7,,,,,,
,2.18 -0.20 ,,1.02 0.00 ,,3.57 69.90 ,,2.84 1.00 ,,1.02 -0.30 ,,1.02 0.00 ,,1.19 9.40 ,,3.29,23.5,,,,,,
,2.21 -0.30 ,,1.03 -0.40 ,,3.59 71.80 ,,2.86 1.10 ,,1.03 -0.30 ,,1.02 0.00 ,,1.20 11.80 ,,3.3,25.5,,,,,,
,2.23 -0.30 ,,1.02 0.10 ,,3.60 73.50 ,,2.89 1.30 ,,1.02 0.00 ,,1.02 0.00 ,,1.21 15.70 ,,3.32,27.3,,,,,,
,2.25 -0.10 ,,1.02 0.00 ,,3.62 75.70 ,,2.90 1.10 ,,1.02 -0.30 ,,1.02 0.00 ,,1.22 19.00 ,,3.33,28.5,,,,,,
,2.28 -0.30 ,,1.03 0.10 ,,3.64 78.20 ,,2.93 1.10 ,,1.02 -0.30 ,,1.02 -0.20 ,,1.23 22.40 ,,3.36,31,,,,,,
,2.30 -0.40 ,,1.03 -0.40 ,,3.65 80.80 ,,2.95 1.30 ,,1.02 -0.10 ,,1.02 -0.40 ,,1.24 27.80 ,,3.38,32.8,,,,,,
,2.33 -0.20 ,,1.02 0.10 ,,3.67 82.80 ,,2.97 1.50 ,,1.03 -0.20 ,,1.02 0.00 ,,1.26 32.50 ,,3.39,34.9,,,,,,
,2.35 -0.10 ,,1.02 0.00 ,,3.68 85.20 ,,3.00 1.60 ,,1.02 -0.40 ,,1.02 0.10 ,,1.27 38.20 ,,3.41,37,,,,,,
,2.36 -0.10 ,,1.02 -0.10 ,,3.69 86.90 ,,3.02 1.80 ,,1.02 -0.10 ,,1.02 -0.20 ,,1.28 44.00 ,,3.43,38.6,,,,,,
,2.39 -0.10 ,,1.02 -0.20 ,,3.70 86.80 ,,3.04 1.90 ,,1.03 0.10 ,,1.02 -0.10 ,,1.29 49.80 ,,3.44,40.4,,,,,,
,2.42 -0.10 ,,1.02 -0.20 ,,3.70 87.10 ,,3.06 1.90 ,,1.03 0.00 ,,1.02 -0.20 ,,1.30 54.50 ,,3.46,42.2,,,,,,
,2.44 0.00 ,,1.02 -0.30 ,,3.70 87.00 ,,3.08 1.70 ,,1.03 -0.30 ,,1.02 -0.30 ,,1.31 61.00 ,,3.48,44.5,,,,,,
,2.47 -0.20 ,,1.03 -0.50 ,,1.02 0.00 ,,3.11 2.20 ,,1.02 0.00 ,,1.02 -0.20 ,,1.32 67.70 ,,3.49,46.4,,,,,,
